KEY	START VS	END VS	SPEAKER (FCBH)	ALT SPEAKER (FCBH)	SPEAKER REFERENT (CLEAR)	SPEAKER REFERENT LABEL (CLEAR)	QUOTE TYPE	QUOTE DELIVERY	PROJECTION START	PROJECTION END	CLEAR START	CLEAR END
GEN 1:3|GEN 1:3|God	GEN 1:3	GEN 1:3	God		o010010030021	God	Normal		GEN 1:3	GEN 1:3	o010010030031	o010010030041
GEN 1:6|GEN 1:6|God	GEN 1:6	GEN 1:6	God		o010010060021	God	Normal		GEN 1:6	GEN 1:6	o010010060031	o010010060112
GEN 1:9|GEN 1:9|God	GEN 1:9	GEN 1:9	God		o010010090021	God	Normal		GEN 1:9	GEN 1:9	o010010090031	o010010090112
GEN 1:11|GEN 1:11|God	GEN 1:11	GEN 1:11	God		o010010110021	God	Normal		GEN 1:11	GEN 1:11	o010010110031	o010010110182
GEN 1:14|GEN 1:15|God	GEN 1:14	GEN 1:15	God		o010010140021	God	Normal		GEN 1:14	GEN 1:14	o010010140031	o010010150072
GEN 1:20|GEN 1:20|God	GEN 1:20	GEN 1:20	God		o010010200021	God	Normal		GEN 1:20	GEN 1:20	o010010200031	o010010200152
GEN 1:22|GEN 1:22|God	GEN 1:22	GEN 1:22	God		o010010220031	God	Normal		GEN 1:22	GEN 1:22	o010010220051	o010010220133
GEN 1:24|GEN 1:24|God	GEN 1:24	GEN 1:24	God		o010010240021	God	Normal		GEN 1:24	GEN 1:24	o010010240031	o010010240123
GEN 1:26|GEN 1:26|God	GEN 1:26	GEN 1:26	God		o010010260021	God	Normal		GEN 1:26	GEN 1:26	o010010260031	o010010260192
GEN 1:28|GEN 1:30|God	GEN 1:28	GEN 1:30	God		o010010280061	God	Normal	blessing	GEN 1:28	GEN 1:28	o010010280071	o010010280222
GEN 1:28|GEN 1:30|God	GEN 1:28	GEN 1:30	God		o010010290021	God	Normal	blessing	GEN 1:29	GEN 1:29	o010010290031	o010010300192
GEN 2:16|GEN 2:18|God	GEN 2:16	GEN 2:18	God		o010020160021	Yahweh	Normal		GEN 2:16	GEN 2:16	o010020160071	o010020170131
GEN 2:16|GEN 2:18|God	GEN 2:16	GEN 2:18	God		o010020180021	Yahweh	Normal		GEN 2:18	GEN 2:18	o010020180041	o010020180123
GEN 2:23|GEN 2:23|Adam	GEN 2:23	GEN 2:23	Adam		o010020230022	man	Normal		GEN 2:23	GEN 2:23	o010020230031	o010020230151
GEN 3:1|GEN 3:1|serpent	GEN 3:1	GEN 3:1	serpent		o010030010013	serpent	Normal		GEN 3:1	GEN 3:1	o010030010141	o010030010222
GEN 3:2|GEN 3:3|Eve	GEN 3:2	GEN 3:3	Eve		o010030020022	woman	Normal		GEN 3:2	GEN 3:2	o010030020051	o010030030151
GEN 3:4|GEN 3:5|serpent	GEN 3:4	GEN 3:5	serpent		o010030040022	serpent	Normal		GEN 3:4	GEN 3:4	o010030040051	o010030050142
GEN 3:9|GEN 3:9|God	GEN 3:9	GEN 3:9	God		o010030090021	Yahweh	Normal	calling out	GEN 3:9	GEN 3:9	o010030090081	o010030090082
GEN 3:10|GEN 3:10|Adam	GEN 3:10	GEN 3:10	Adam		o010030090052	man	Normal		GEN 3:10	GEN 3:10	o010030100031	o010030100102
GEN 3:11|GEN 3:11|God	GEN 3:11	GEN 3:11	God		o010030090021	Yahweh	Normal		GEN 3:11	GEN 3:11	o010030110021	o010030110151
GEN 3:12|GEN 3:12|Adam	GEN 3:12	GEN 3:12	Adam		o010030120022	man	Normal		GEN 3:12	GEN 3:12	o010030120031	o010030120122
GEN 3:13|GEN 3:13|Eve	GEN 3:13	GEN 3:13	Eve		 	 	Normal		GEN 3:13	GEN 3:13	o010030130051	o010030130071
GEN 3:13|GEN 3:19|God	GEN 3:13	GEN 3:19	God		o010030130092	woman	Normal		GEN 3:13	GEN 3:13	o010030130101	o010030130122
GEN 3:13|GEN 3:19|God	GEN 3:13	GEN 3:19	God		o010030140021	Yahweh	Normal		GEN 3:14	GEN 3:14	o010030140061	o010030150151
GEN 3:13|GEN 3:19|God	GEN 3:13	GEN 3:19	God		o010030140021	Yahweh	Normal		GEN 3:16	GEN 3:16	o010030160041	o010030160162
GEN 3:13|GEN 3:19|God	GEN 3:13	GEN 3:19	God		o010030140021	Yahweh	Normal		GEN 3:17	GEN 3:17	o010030170031	o010030190171
GEN 3:22|GEN 3:22|God	GEN 3:22	GEN 3:22	God		o010030220021	Yahweh	Normal		GEN 3:22	GEN 3:22	o010030220041	o010030220222
GEN 4:1|GEN 4:1|Eve	GEN 4:1	GEN 4:1	Eve		o010040010041	Eve	Normal		GEN 4:1	GEN 4:1	o010040010111	o010040010141
GEN 4:6|GEN 4:7|God	GEN 4:6	GEN 4:7	God		o010040060021	Yahweh	Normal		GEN 4:6	GEN 4:6	o010040060051	o010040070152
GEN 4:9|GEN 4:9|God	GEN 4:9	GEN 4:9	God		o010040090021	Yahweh	Normal		GEN 4:9	GEN 4:9	o010040090051	o010040090072
GEN 4:9|GEN 4:9|Cain	GEN 4:9	GEN 4:9	Cain		o010040090041	Cain	Normal		GEN 4:9	GEN 4:9	o010040090091	o010040090131
GEN 4:10|GEN 4:12|God	GEN 4:10	GEN 4:12	God		o010040090021	Yahweh	Normal		GEN 4:10	GEN 4:10	o010040100021	o010040120133
GEN 4:13|GEN 4:14|Cain	GEN 4:13	GEN 4:14	Cain		o010040130021	Cain	Normal		GEN 4:13	GEN 4:13	o010040130051	o010040140172
GEN 4:15|GEN 4:15|God	GEN 4:15	GEN 4:15	God		o010040150031	Yahweh	Normal		GEN 4:15	GEN 4:15	o010040150041	o010040150091
GEN 4:23|GEN 4:24|Lamech (descendent of Cain)	GEN 4:23	GEN 4:24	Lamech (descendent of Cain)		o010040230021	Lamech	Normal		GEN 4:23	GEN 4:23	o010040230041	o010040240072
GEN 4:25|GEN 4:25|Eve	GEN 4:25	GEN 4:25	Eve		o010040250051	wife of	Normal		GEN 4:25	GEN 4:25	o010040250131	o010040250221
GEN 5:29|GEN 5:29|Lamech (descendent of Seth)	GEN 5:29	GEN 5:29	Lamech (descendent of Seth)		o010050280021	Lamech	Normal		GEN 5:29	GEN 5:29	o010050290061	o010050290151
GEN 6:3|GEN 6:3|God	GEN 6:3	GEN 6:3	God		o010060030021	Yahweh	Normal		GEN 6:3	GEN 6:3	o010060030031	o010060030151
GEN 6:7|GEN 6:7|God	GEN 6:7	GEN 6:7	God		o010060070021	Yahweh	Normal		GEN 6:7	GEN 6:7	o010060070031	o010060070222
GEN 6:13|GEN 6:21|God	GEN 6:13	GEN 6:21	God		o010060130021	God	Normal		GEN 6:13	GEN 6:13	o010060130041	o010060210132
GEN 7:1|GEN 7:4|God	GEN 7:1	GEN 7:4	God		o010070010021	Yahweh	Normal		GEN 7:1	GEN 7:1	o010070010041	o010070040212
GEN 8:16|GEN 8:17|God	GEN 8:16	GEN 8:17	God		o010080150021	God	Normal		GEN 8:16	GEN 8:16	o010080160011	o010080170222
GEN 8:21|GEN 9:7|God	GEN 8:21	GEN 9:7	God		o010080210071	Yahweh	Normal	said in his heart	GEN 8:21	GEN 8:21	o010080210101	o010080220141
GEN 8:21|GEN 9:7|God	GEN 8:21	GEN 9:7	God		o010090010021	God	Normal	said in his heart	GEN 9:1	GEN 9:1	o010090010091	o010090070072
GEN 9:9|GEN 9:17|God	GEN 9:9	GEN 9:17	God		o010090080021	God	Implicit		GEN 9:9	GEN 9:9	o010090090021	o010090110172
GEN 9:9|GEN 9:17|God	GEN 9:9	GEN 9:17	God		o010090120021	God	Implicit		GEN 9:12	GEN 9:12	o010090120031	o010090160182
GEN 9:9|GEN 9:17|God	GEN 9:9	GEN 9:17	God		o010090170021	God	Implicit		GEN 9:17	GEN 9:17	o010090170051	o010090170162
GEN 9:25|GEN 9:27|Noah	GEN 9:25	GEN 9:27	Noah		o010090240021	Noah	Normal		GEN 9:25	GEN 9:25	o010090250021	o010090250073
GEN 9:25|GEN 9:27|Noah	GEN 9:25	GEN 9:27	Noah		o010090240021	Noah	Normal		GEN 9:26	GEN 9:26	o010090260021	o010090270091
GEN 10:9|GEN 10:9|saying about Nimrod	GEN 10:9	GEN 10:9	saying about Nimrod		o010100090111	mighty	Quotation		GEN 10:9	GEN 10:9	o010100090101	o010100090141
GEN 11:3|GEN 11:4|men of Babel	GEN 11:3	GEN 11:4	men of Babel		o010110010032	earth	Normal		GEN 11:3	GEN 11:3	o010110030051	o010110030092
GEN 11:3|GEN 11:4|men of Babel	GEN 11:3	GEN 11:4	men of Babel		o010110010032	earth	Normal		GEN 11:4	GEN 11:4	o010110040021	o010110040172
GEN 11:6|GEN 11:7|God	GEN 11:6	GEN 11:7	God		o010110060021	Yahweh	Normal		GEN 11:6	GEN 11:6	o010110060031	o010110070111
GEN 12:1|GEN 12:3|God	GEN 12:1	GEN 12:3	God		o010120010021	Yahweh	Normal		GEN 12:1	GEN 12:1	o010120010051	o010120030092
GEN 12:7|GEN 12:7|God	GEN 12:7	GEN 12:7	God		o010120070021	Yahweh	Normal		GEN 12:7	GEN 12:7	o010120070061	o010120070102
GEN 12:11|GEN 12:13|Abraham (Abram)	GEN 12:11	GEN 12:13	Abraham (Abram)		o010120100051	Abram	Normal		GEN 12:11	GEN 12:11	o010120110121	o010120130113
GEN 12:18|GEN 12:19|Pharaoh (1st)	GEN 12:18	GEN 12:19	Pharaoh (1st)		o010120180021	Pharaoh	Normal		GEN 12:18	GEN 12:18	o010120180051	o010120190132
GEN 13:8|GEN 13:9|Abraham (Abram)	GEN 13:8	GEN 13:9	Abraham (Abram)		o010130080021	Abram	Normal		GEN 13:8	GEN 13:8	o010130080051	o010130090132
GEN 13:14|GEN 13:17|God	GEN 13:14	GEN 13:17	God		o010130140071	Lot	Normal		GEN 13:14	GEN 13:14	o010130140091	o010130170082
GEN 14:19|GEN 14:20|Melchizedek, king of Salem (priest of God Most High)	GEN 14:19	GEN 14:20	Melchizedek, king of Salem (priest of God Most High)		o010140180021	Melchizedek	Normal		GEN 14:19	GEN 14:19	o010140190031	o010140200073
GEN 14:21|GEN 14:21|Bera, king of Sodom	GEN 14:21	GEN 14:21	Bera, king of Sodom		o010140210021	the.king	Normal		GEN 14:21	GEN 14:21	o010140210061	o010140210112
GEN 14:22|GEN 14:24|Abraham (Abram)	GEN 14:22	GEN 14:24	Abraham (Abram)		o010140220021	Abram	Normal		GEN 14:22	GEN 14:22	o010140220061	o010140240162
GEN 15:1|GEN 15:1|God	GEN 15:1	GEN 15:1	God		o010150010051	word of	Normal		GEN 15:1	GEN 15:1	o010150010111	o010150010191
GEN 15:2|GEN 15:3|Abraham (Abram)	GEN 15:2	GEN 15:3	Abraham (Abram)		o010150020021	Abram	Normal		GEN 15:2	GEN 15:2	o010150020031	o010150020161
GEN 15:2|GEN 15:3|Abraham (Abram)	GEN 15:2	GEN 15:3	Abraham (Abram)		o010150030021	Abram	Normal		GEN 15:3	GEN 15:3	o010150030031	o010150030122
GEN 15:4|GEN 15:5|God	GEN 15:4	GEN 15:5	God		o010150040021	word of	Normal		GEN 15:4	GEN 15:4	o010150040061	o010150040152
GEN 15:4|GEN 15:5|God	GEN 15:4	GEN 15:5	God		o010150040031	Yahweh	Normal		GEN 15:5	GEN 15:5	o010150050051	o010150050132
GEN 15:4|GEN 15:5|God	GEN 15:4	GEN 15:5	God		o010150040031	Yahweh	Normal		GEN 15:5	GEN 15:5	o010150050161	o010150050182
GEN 15:7|GEN 15:7|God	GEN 15:7	GEN 15:7	God		o010150060022	Yahweh	Normal		GEN 15:7	GEN 15:7	o010150070031	o010150070142
GEN 15:8|GEN 15:8|Abraham (Abram)	GEN 15:8	GEN 15:8	Abraham (Abram)		o010150030021	Abram	Normal		GEN 15:8	GEN 15:8	o010150080021	o010150080072
GEN 15:9|GEN 15:9|God	GEN 15:9	GEN 15:9	God		o010150060022	Yahweh	Normal		GEN 15:9	GEN 15:9	o010150090031	o010150090122
GEN 15:13|GEN 15:16|God	GEN 15:13	GEN 15:16	God		o010150060022	Yahweh	Normal		GEN 15:13	GEN 15:13	o010150130031	o010150160111
GEN 15:18|GEN 15:21|God	GEN 15:18	GEN 15:21	God		o010150180041	Yahweh	Normal		GEN 15:18	GEN 15:18	o010150180091	o010150210082
GEN 16:2|GEN 16:2|Sarah (Sarai)	GEN 16:2	GEN 16:2	Sarah (Sarai)		o010160020021	Sarai	Normal		GEN 16:2	GEN 16:2	o010160020051	o010160020162
GEN 16:5|GEN 16:5|Sarah (Sarai)	GEN 16:5	GEN 16:5	Sarah (Sarai)		o010160050021	Sarai	Normal		GEN 16:5	GEN 16:5	o010160050051	o010160050193
GEN 16:6|GEN 16:6|Abraham (Abram)	GEN 16:6	GEN 16:6	Abraham (Abram)		o010160060021	Abram	Normal		GEN 16:6	GEN 16:6	o010160060051	o010160060113
