KEY	START VS	END VS	SPEAKER	ALT SPEAKER	QUOTE TYPE	QUOTE DELIVERY	PROJECTION START	PROJECTION END	CLEAR START	CLEAR END
GEN 1:3|GEN 1:3|God	GEN 1:3	GEN 1:3	God		Normal		GEN 1:3!3-1	GEN 1:3!4-1	o010010030031	o010010030041
GEN 1:6|GEN 1:6|God	GEN 1:6	GEN 1:6	God		Normal		GEN 1:6!3-1	GEN 1:6!11-2	o010010060031	o010010060112
GEN 1:9|GEN 1:9|God	GEN 1:9	GEN 1:9	God		Normal		GEN 1:9!3-1	GEN 1:9!11-2	o010010090031	o010010090112
GEN 1:11|GEN 1:11|God	GEN 1:11	GEN 1:11	God		Normal		GEN 1:11!3-1	GEN 1:11!16-2	o010010110031	o010010110162
GEN 1:14|GEN 1:15|God	GEN 1:14	GEN 1:15	God		Normal		GEN 1:14!3-1	GEN 1:15!7-2	o010010140031	o010010150072
GEN 1:20|GEN 1:20|God	GEN 1:20	GEN 1:20	God		Normal		GEN 1:20!3-1	GEN 1:20!15-2	o010010200031	o010010200152
GEN 1:22|GEN 1:22|God	GEN 1:22	GEN 1:22	God		Normal		GEN 1:22!5-1	GEN 1:22!13-3	o010010220051	o010010220133
GEN 1:24|GEN 1:24|God	GEN 1:24	GEN 1:24	God		Normal		GEN 1:24!3-1	GEN 1:24!12-3	o010010240031	o010010240123
GEN 1:26|GEN 1:26|God	GEN 1:26	GEN 1:26	God		Normal		GEN 1:26!3-1	GEN 1:26!19-2	o010010260031	o010010260192
GEN 1:28|GEN 1:30|God	GEN 1:28	GEN 1:30	God		Normal	blessing	GEN 1:28!7-1	GEN 1:28!22-2	o010010280071	o010010280222
GEN 1:28|GEN 1:30|God	GEN 1:28	GEN 1:30	God		Normal	blessing	GEN 1:29!3-1	GEN 1:30!19-2	o010010290031	o010010300192
GEN 2:16|GEN 2:18|God	GEN 2:16	GEN 2:18	God		Normal		GEN 2:16!7-1	GEN 2:17!13-1	o010020160071	o010020170131
GEN 2:16|GEN 2:18|God	GEN 2:16	GEN 2:18	God		Normal		GEN 2:18!4-1	GEN 2:18!12-3	o010020180041	o010020180123
GEN 2:23|GEN 2:23|Adam	GEN 2:23	GEN 2:23	Adam		Normal		GEN 2:23!3-1	GEN 2:23!14-1	o010020230031	o010020230141
GEN 3:1|GEN 3:1|serpent	GEN 3:1	GEN 3:1	serpent		Normal		GEN 3:1!14-1	GEN 3:1!22-2	o010030010141	o010030010222
GEN 3:2|GEN 3:3|Eve	GEN 3:2	GEN 3:3	Eve		Normal		GEN 3:2!5-1	GEN 3:3!15-1	o010030020051	o010030030151
GEN 3:4|GEN 3:5|serpent	GEN 3:4	GEN 3:5	serpent		Normal		GEN 3:4!5-1	GEN 3:5!14-2	o010030040051	o010030050142
GEN 3:9|GEN 3:9|God	GEN 3:9	GEN 3:9	God		Normal	calling out	GEN 3:9!8-1	GEN 3:9!8-2	o010030090081	o010030090082
GEN 3:10|GEN 3:10|Adam	GEN 3:10	GEN 3:10	Adam		Normal		GEN 3:10!3-1	GEN 3:10!10-2	o010030100031	o010030100102
GEN 3:11|GEN 3:11|God	GEN 3:11	GEN 3:11	God		Normal		GEN 3:11!2-1	GEN 3:11!15-1	o010030110021	o010030110151
GEN 3:12|GEN 3:12|Adam	GEN 3:12	GEN 3:12	Adam		Normal		GEN 3:12!3-1	GEN 3:12!12-2	o010030120031	o010030120122
