KEY	START VS	END VS	SPEAKER	QUOTE TYPE	QUOTE DELIVERY	PROJECTION START	PROJECTION END
MAT 1:20|MAT 1:21|angel	MAT 1:20	MAT 1:21	angel	Normal		MAT 1:20!13	MAT 1:21!19
MAT 1:23|MAT 1:23|Isaiah	MAT 1:23	MAT 1:23	Isaiah	Quotation		MAT 1:23!1	MAT 1:23!9
MAT 1:23|MAT 1:23|Isaiah	MAT 1:23	MAT 1:23	Isaiah	Quotation		MAT 1:23!19	MAT 1:23!22
MAT 2:2|MAT 2:2|magi (wise men from East)	MAT 2:2	MAT 2:2	magi (wise men from East)	Dialogue		MAT 2:2!2	MAT 2:2!20
MAT 2:5|MAT 2:6|Good Priest	MAT 2:5	MAT 2:6	Good Priest	Dialogue		MAT 2:5!5	MAT 2:6!24
MAT 2:8|MAT 2:8|Herod the Great	MAT 2:8	MAT 2:8	Herod the Great	Dialogue	sly	MAT 2:8!7	MAT 2:8!22
MAT 2:13|MAT 2:13|angel	MAT 2:13	MAT 2:13	angel	Normal	commanding	MAT 2:13!13	MAT 2:13!40
MAT 2:15|MAT 2:15|God	MAT 2:15	MAT 2:15	God	Quotation		MAT 2:15!18	MAT 2:15!23
MAT 2:18|MAT 2:18|God	MAT 2:18	MAT 2:18	God	Quotation		MAT 2:18!1	MAT 2:18!20
MAT 2:20|MAT 2:20|angel	MAT 2:20	MAT 2:20	angel	Normal	commanding	MAT 2:20!2	MAT 2:20!22
MAT 2:23|MAT 2:23|scripture	MAT 2:23	MAT 2:23	scripture	Quotation		MAT 2:23!16	MAT 2:23!17
MAT 3:2|MAT 3:2|John the Baptist	MAT 3:2	MAT 3:2	John the Baptist	Normal	proclaim	MAT 3:2!2	MAT 3:2!8
MAT 3:3|MAT 3:3|Isaiah	MAT 3:3	MAT 3:3	Isaiah	Quotation		MAT 3:3!11	MAT 3:3!24
MAT 3:7|MAT 3:12|John the Baptist	MAT 3:7	MAT 3:12	John the Baptist	Normal	rebuking	MAT 3:7!14	MAT 3:12!26
MAT 3:14|MAT 3:14|John the Baptist	MAT 3:14	MAT 3:14	John the Baptist	Dialogue	humble	MAT 3:14!6	MAT 3:14!16
MAT 3:15|MAT 3:15|Jesus	MAT 3:15	MAT 3:15	Jesus	Dialogue		MAT 3:15!7	MAT 3:15!16
MAT 3:17|MAT 3:17|God	MAT 3:17	MAT 3:17	God	Normal		MAT 3:17!8	MAT 3:17!17
MAT 4:3|MAT 4:3|Satan (Devil)	MAT 4:3	MAT 4:3	Satan (Devil)	Dialogue		MAT 4:3!7	MAT 4:3!18
MAT 4:4|MAT 4:4|Jesus	MAT 4:4	MAT 4:4	Jesus	Dialogue		MAT 4:4!5	MAT 4:4!20
MAT 4:6|MAT 4:6|Satan (Devil)	MAT 4:6	MAT 4:6	Satan (Devil)	Dialogue		MAT 4:6!4	MAT 4:6!33
MAT 4:7|MAT 4:7|Jesus	MAT 4:7	MAT 4:7	Jesus	Dialogue		MAT 4:7!5	MAT 4:7!12
MAT 4:9|MAT 4:9|Satan (Devil)	MAT 4:9	MAT 4:9	Satan (Devil)	Dialogue		MAT 4:9!4	MAT 4:9!11
MAT 4:10|MAT 4:10|Jesus	MAT 4:10	MAT 4:10	Jesus	Dialogue	rebuking	MAT 4:10!6	MAT 4:10!18
MAT 4:15|MAT 4:16|Isaiah	MAT 4:15	MAT 4:16	Isaiah	Quotation		MAT 4:15!1	MAT 4:16!20
MAT 4:17|MAT 4:17|Jesus	MAT 4:17	MAT 4:17	Jesus	Normal	preaching	MAT 4:17!9	MAT 4:17!15
MAT 4:19|MAT 4:19|Jesus	MAT 4:19	MAT 4:19	Jesus	Dialogue	inviting	MAT 4:19!4	MAT 4:19!11
MAT 5:3|MAT 7:27|Jesus	MAT 5:3	MAT 7:27	Jesus	Implicit	preaching	MAT 5:3!1	MAT 7:27!25
MAT 8:2|MAT 8:2|leper	MAT 8:2	MAT 8:2	leper	Dialogue	pleading	MAT 8:2!8	MAT 8:2!13
MAT 8:3|MAT 8:4|Jesus	MAT 8:3	MAT 8:4	Jesus	Dialogue		MAT 8:3!8	MAT 8:3!9
MAT 8:3|MAT 8:4|Jesus	MAT 8:3	MAT 8:4	Jesus	Dialogue		MAT 8:4!6	MAT 8:4!24
MAT 8:6|MAT 8:6|centurion with great faith	MAT 8:6	MAT 8:6	centurion with great faith	Dialogue	entreating	MAT 8:6!3	MAT 8:6!13
MAT 8:7|MAT 8:7|Jesus	MAT 8:7	MAT 8:7	Jesus	Dialogue		MAT 8:7!3	MAT 8:7!6
MAT 8:8|MAT 8:9|centurion with great faith	MAT 8:8	MAT 8:9	centurion with great faith	Dialogue	humbly	MAT 8:8!6	MAT 8:9!30
MAT 8:10|MAT 8:13|Jesus	MAT 8:10	MAT 8:13	Jesus	Dialogue		MAT 8:10!10	MAT 8:12!20
MAT 8:10|MAT 8:13|Jesus	MAT 8:10	MAT 8:13	Jesus	Dialogue		MAT 8:13!7	MAT 8:13!11
MAT 8:17|MAT 8:17|Isaiah	MAT 8:17	MAT 8:17	Isaiah	Quotation		MAT 8:17!10	MAT 8:17!18
MAT 8:19|MAT 8:19|teacher of religious law	MAT 8:19	MAT 8:19	teacher of religious law	Dialogue	eager	MAT 8:19!7	MAT 8:19!12
MAT 8:20|MAT 8:20|Jesus	MAT 8:20	MAT 8:20	Jesus	Dialogue	questioning	MAT 8:20!6	MAT 8:20!26
MAT 8:21|MAT 8:21|disciple who wanted to bury his father	MAT 8:21	MAT 8:21	disciple who wanted to bury his father	Dialogue	making excuse	MAT 8:21!7	MAT 8:21!16
MAT 8:22|MAT 8:22|Jesus	MAT 8:22	MAT 8:22	Jesus	Dialogue	giving orders	MAT 8:22!6	MAT 8:22!15
MAT 8:25|MAT 8:25|disciples	MAT 8:25	MAT 8:25	disciples	Dialogue	terrified	MAT 8:25!6	MAT 8:25!8
MAT 8:26|MAT 8:26|Jesus	MAT 8:26	MAT 8:26	Jesus	Dialogue	giving orders	MAT 8:26!4	MAT 8:26!7
MAT 8:27|MAT 8:27|disciples	MAT 8:27	MAT 8:27	disciples	Normal	amazed	MAT 8:27!6	MAT 8:27!17
MAT 8:29|MAT 8:29|demons (Legion)	MAT 8:29	MAT 8:29	demons (Legion)	Dialogue	screaming	MAT 8:29!5	MAT 8:29!17
MAT 8:31|MAT 8:31|demons (Legion)	MAT 8:31	MAT 8:31	demons (Legion)	Dialogue	begging	MAT 8:31!7	MAT 8:31!16
MAT 8:32|MAT 8:32|Jesus	MAT 8:32	MAT 8:32	Jesus	Dialogue	giving orders	MAT 8:32!4	MAT 8:32!4
MAT 9:2|MAT 9:2|Jesus	MAT 9:2	MAT 9:2	Jesus	Dialogue	compassionately	MAT 9:2!19	MAT 9:2!24
MAT 9:3|MAT 9:3|teachers of religious law	MAT 9:3	MAT 9:3	teachers of religious law	Normal	indignant	MAT 9:3!9	MAT 9:3!10
MAT 9:4|MAT 9:6|Jesus	MAT 9:4	MAT 9:6	Jesus	Dialogue	rebuking	MAT 9:4!9	MAT 9:6!15
MAT 9:4|MAT 9:6|Jesus	MAT 9:4	MAT 9:6	Jesus	Dialogue	rebuking	MAT 9:6!20	MAT 9:6!30
MAT 9:9|MAT 9:9|Jesus	MAT 9:9	MAT 9:9	Jesus	Normal	giving orders	MAT 9:9!17	MAT 9:9!18
MAT 9:11|MAT 9:11|Pharisees	MAT 9:11	MAT 9:11	Pharisees	Dialogue	questioning	MAT 9:11!9	MAT 9:11!19
MAT 9:12|MAT 9:13|Jesus	MAT 9:12	MAT 9:13	Jesus	Dialogue		MAT 9:12!5	MAT 9:13!17
MAT 9:14|MAT 9:14|disciples of John the Baptist	MAT 9:14	MAT 9:14	disciples of John the Baptist	Dialogue	puzzled	MAT 9:14!8	MAT 9:14!20
MAT 9:15|MAT 9:17|Jesus	MAT 9:15	MAT 9:17	Jesus	Dialogue		MAT 9:15!6	MAT 9:17!31
MAT 9:18|MAT 9:18|Jairus (synagogue leader)	MAT 9:18	MAT 9:18	Jairus (synagogue leader)	Dialogue	pleading	MAT 9:18!13	MAT 9:18!27
MAT 9:21|MAT 9:21|woman, bleeding for twelve years	MAT 9:21	MAT 9:21	woman, bleeding for twelve years	Normal	thinking	MAT 9:21!5	MAT 9:21!11
MAT 9:22|MAT 9:22|Jesus	MAT 9:22	MAT 9:22	Jesus	Dialogue		MAT 9:22!9	MAT 9:22!15
MAT 9:24|MAT 9:24|Jesus	MAT 9:24	MAT 9:24	Jesus	Dialogue	giving orders	MAT 9:24!2	MAT 9:24!9
MAT 9:27|MAT 9:27|blind men, two	MAT 9:27	MAT 9:27	blind men, two	Dialogue	shouting	MAT 9:27!12	MAT 9:27!15
MAT 9:28|MAT 9:28|Jesus	MAT 9:28	MAT 9:28	Jesus	Dialogue	questioning	MAT 9:28!15	MAT 9:28!19
MAT 9:28|MAT 9:28|blind men, two	MAT 9:28	MAT 9:28	blind men, two	Dialogue	quieter	MAT 9:28!22	MAT 9:28!23
